Material_Name,Embodied_Carbon_kgCO2e_kg,Data_Source
"per mm glass, 1 mm of glass, ex frame",3.592417659624192,ICE Database V5.0 (Circular Ecology)
"3 mm of glass, ex frame",10.777252978872575,ICE Database V5.0 (Circular Ecology)
"4 mm of glass, ex frame",14.369670638496768,ICE Database V5.0 (Circular Ecology)
"5 mm of glass, ex frame",17.96208829812096,ICE Database V5.0 (Circular Ecology)
"6 mm of glass, ex frame",21.55450595774515,ICE Database V5.0 (Circular Ecology)
"7 mm of glass, ex frame",25.146923617369342,ICE Database V5.0 (Circular Ecology)
"8 mm of glass, ex frame",28.739341276993535,ICE Database V5.0 (Circular Ecology)
"10 mm of glass, ex frame",35.92417659624192,ICE Database V5.0 (Circular Ecology)
"12 mm of glass, ex frame",43.1090119154903,ICE Database V5.0 (Circular Ecology)
"per mm glass, 1 mm of glass, ex cavity and ex frame",4.064000034725387,ICE Database V5.0 (Circular Ecology)
"10 mm of glass, ex cavity and ex frame",40.64000034725387,ICE Database V5.0 (Circular Ecology)
"12 mm of glass, ex cavity and ex frame",48.768000416704645,ICE Database V5.0 (Circular Ecology)
"14 mm of glass, ex cavity and ex frame",56.896000486155415,ICE Database V5.0 (Circular Ecology)
"16 mm of glass, ex cavity and ex frame",65.0240005556062,ICE Database V5.0 (Circular Ecology)
"20 mm of glass, ex cavity and ex frame",81.28000069450773,ICE Database V5.0 (Circular Ecology)
"15 mm of glass, ex cavity and ex frame",65.51216132400451,ICE Database V5.0 (Circular Ecology)
"18 mm of glass, ex cavity and ex frame",78.6145935888054,ICE Database V5.0 (Circular Ecology)
"14 mm of glass, ex frame",72.8626932707815,ICE Database V5.0 (Circular Ecology)
"16 mm of glass, ex frame",83.27164945232171,ICE Database V5.0 (Circular Ecology)
" per mm glass, 1 mm of glass, ex frame",4.1680742554059576,ICE Database V5.0 (Circular Ecology)
" 2 mm of glass, ex frame",8.336148510811915,ICE Database V5.0 (Circular Ecology)
" 3 mm of glass, ex frame",12.504222766217872,ICE Database V5.0 (Circular Ecology)
" 5 mm of glass, ex frame",20.84037127702979,ICE Database V5.0 (Circular Ecology)
" 6 mm of glass, ex frame",25.008445532435744,ICE Database V5.0 (Circular Ecology)
" 8 mm of glass, ex frame",33.34459404324766,ICE Database V5.0 (Circular Ecology)
" 10 mm of glass, ex frame",41.68074255405958,ICE Database V5.0 (Circular Ecology)
" 12 mm of glass, ex frame",50.01689106487149,ICE Database V5.0 (Circular Ecology)
" 15 mm of glass, ex frame",62.52111383108936,ICE Database V5.0 (Circular Ecology)
"Roof or skylight, inc frame",0.5142857142857142,ICE Database V5.0 (Circular Ecology)
"Insulation, Glass Wool",1.5327072819666347,ICE Database V5.0 (Circular Ecology)
"Insulation, Mineral Wool",1.2496460421912865,ICE Database V5.0 (Circular Ecology)
"Insulation, Polyisocyanurate (PIR)",3.08888837800634,ICE Database V5.0 (Circular Ecology)
"Insulation, Polystyrene",3.6899542517003656,ICE Database V5.0 (Circular Ecology)
